algorithm,suite,fn_id,dim,num_runs,pop_size,max_iter,fes_per_run_nominal,mean_error,std_error,min_error,median_error,max_error,logscore,mean_fitness,std_fitness,min_fitness,median_fitness,max_fitness,elapsed_sec
MVDO,CEC2017,16,30,30,30,1000,30000,977.973407283856,280.48364077459587,410.31627770484783,969.2279844802864,1545.7042630224578,2.971454205872085,2577.9734072838555,280.4836407745958,2010.316277704848,2569.227984480286,3145.704263022458,3.089475393295288
MVDO,CEC2017,17,30,30,30,1000,30000,392.9154842310952,110.15848170187066,194.11791885261027,378.2547051457954,607.3816983162646,2.575909099657337,2092.915484231095,110.15848170187066,1894.1179188526105,2078.2547051457955,2307.3816983162646,3.786571741104126
MVDO,CEC2017,18,30,30,30,1000,30000,250722.49890988093,185215.07428821683,62803.79669771321,200200.48374011385,1029726.683346782,5.310098489112947,252522.49890988093,185215.07428821683,64603.79669771321,202000.48374011385,1031526.683346782,2.9045913219451904
MVDO,CEC2017,19,30,30,30,1000,30000,9380387.086253949,13582497.390548997,252008.0107312036,3668486.096551359,70458557.67570874,6.623655199091775,9382287.086253949,13582497.390548997,253908.0107312036,3670386.096551359,70460457.67570874,6.038223743438721
MVDO,CEC2017,20,30,30,30,1000,30000,497.6566162768307,179.54814110329738,186.96756333311717,512.3206958160351,873.327273688973,2.6640532255098672,2497.6566162768304,179.5481411032974,2186.967563333117,2512.320695816036,2873.327273688973,3.9127371311187744
MVDO,CEC2017,21,30,30,30,1000,30000,263.90327258447365,17.765779609947597,233.4443033548728,263.0234483815664,314.97256189324617,2.420489409448399,2363.9032725844736,17.765779609947597,2333.4443033548728,2363.0234483815666,2414.972561893246,3.647218942642212
MVDO,CEC2017,22,30,30,30,1000,30000,2041.239768024724,1873.502509273398,109.42196732669572,2573.202151834272,5176.417194413027,2.8584483826008182,4241.239768024723,1873.502509273398,2309.421967326696,4773.202151834272,7376.417194413027,6.79221248626709
MVDO,CEC2017,23,30,30,30,1000,30000,419.7046943038773,20.43987262248004,385.7511291862402,420.4748522797222,459.08768839311006,2.6224319773360434,2719.7046943038777,20.43987262248004,2685.75112918624,2720.474852279722,2759.08768839311,6.517278432846069
MVDO,CEC2017,24,30,30,30,1000,30000,483.8721148640764,24.095524305443703,442.569596154337,480.8026463220244,554.2719965109891,2.6842082562510114,2883.872114864077,24.0955243054437,2842.569596154337,2880.8026463220244,2954.271996510989,5.27493953704834
MVDO,CEC2017,25,30,30,30,1000,30000,404.0865388616634,18.370172946735224,387.1631597979495,394.5028838368812,448.07749643764055,2.6060371324619296,2904.086538861664,18.370172946735224,2887.163159797949,2894.502883836881,2948.0774964376405,4.731770038604736
MVDO,CEC2017,26,30,30,30,1000,30000,1672.240368922982,545.063269622954,305.08195599013834,1733.2856408617326,2683.0365570490594,3.1780809910482377,4272.240368922981,545.063269622954,2905.0819559901383,4333.285640861733,5283.036557049059,7.943457126617432
MVDO,CEC2017,27,30,30,30,1000,30000,531.093183526969,17.54215850005952,501.6368150267117,528.7387984106717,593.9480278999367,2.7249400734115787,3231.093183526969,17.54215850005952,3201.636815026712,3228.738798410672,3293.9480278999367,7.128338575363159
MVDO,CEC2017,28,30,30,30,1000,30000,457.5582082022808,29.479152047804853,416.6486746779256,458.70062936654494,545.0656249882086,2.659581954793921,3257.55820820228,29.479152047804856,3216.6486746779256,3258.700629366545,3345.0656249882086,6.078432321548462
MVDO,CEC2017,29,30,30,30,1000,30000,978.8724971763156,228.75744169292503,637.6427150584982,930.6099920911412,1455.9586858808325,2.978971001293711,3878.872497176316,228.75744169292503,3537.642715058498,3830.609992091141,4355.9586858808325,6.024685621261597
MVDO,CEC2017,30,30,30,30,1000,30000,27008784.92567639,32785848.141200405,496766.9972793575,16125149.062470067,136946658.3300964,7.208260960789473,27011784.92567639,32785848.141200405,499766.9972793575,16128149.062470067,136949658.3300964,7.58023738861084
MVDO,CEC2017,1,50,30,30,1000,30000,202516559.85242465,40873909.62936635,107763618.03484637,207798652.3635643,308726690.2034472,8.297119557477936,202516659.85242465,40873909.62936635,107763718.03484637,207798752.3635643,308726790.2034472,2.2318077087402344
