algorithm,suite,problem,dim,num_runs,pop_size,max_iter,fes_per_run_nominal,penalty_factor,feasibility_tol,feasible_rate,ranking_score,best_feasible_obj,mean_feasible_obj,std_feasible_obj,median_feasible_obj,mean_raw_obj,std_raw_obj,best_raw_obj,median_raw_obj,mean_penalized,std_penalized,best_penalized,median_penalized,mean_max_violation,best_max_violation,median_max_violation,elapsed_sec
GWO,Engineering,three_bar_truss,2,30,30,1000,30000,10000000000.0,1e-06,1.0,264.5307324010259,263.8959461242934,264.5307324010259,3.400469415957841,263.89835043645724,264.5307324010259,3.400469415957841,263.8959461242934,263.89835043645724,264.5307328524489,3.4004693317870403,263.8959461242934,263.89835043645724,1.226679794778344e-09,0.0,0.0,1.054987907409668
GWO,Engineering,tension_spring,3,30,30,1000,30000,10000000000.0,1e-06,1.0,0.0127340065732089,0.0126750726444944,0.0127340065732089,4.6736514390009335e-05,0.0127225624316612,0.0127340065732089,4.6736514390009335e-05,0.0126750726444944,0.0127225624316612,0.0127340065732089,4.6736514390009335e-05,0.0126750726444944,0.0127225624316612,0.0,0.0,0.0,1.1136927604675293
GWO,Engineering,welded_beam,4,30,30,1000,30000,10000000000.0,1e-06,1.0,1.7270629522387992,1.7253486477114144,1.7270629522387992,0.0013272930365505,1.7266617654022844,1.7270629522387992,0.0013272930365505,1.7253486477114144,1.7266617654022844,1.7270629522387992,0.0013272930365505,1.7253486477114144,1.7266617654022844,0.0,0.0,0.0,1.5810284614562988
GWO,Engineering,pressure_vessel,4,30,30,1000,30000,10000000000.0,1e-06,1.0,6377.011103759392,6059.964733390827,6377.011103759392,488.6148063433545,6061.705888540889,6377.011103759392,488.6148063433545,6059.964733390827,6061.705888540889,6377.011103759392,488.6148063433545,6059.964733390827,6061.705888540889,0.0,0.0,0.0,1.322795867919922
GWO,Engineering,speed_reducer,7,30,30,1000,30000,10000000000.0,1e-06,1.0,3004.80218760705,2995.8645887787325,3004.80218760705,4.126961242392234,3005.0329193175025,3004.80218760705,4.126961242392234,2995.8645887787325,3005.0329193175025,3004.80218760705,4.126961242392234,2995.8645887787325,3005.0329193175025,0.0,0.0,0.0,1.5655856132507324
WOA,Engineering,three_bar_truss,2,30,30,1000,30000,10000000000.0,1e-06,1.0,264.8904510714749,263.9109861618485,264.8904510714749,1.5532143449067184,264.20991766186444,264.8904510714749,1.5532143449067184,263.9109861618485,264.20991766186444,264.8904518335011,1.5532143362775197,263.91098657561554,264.20991852470854,7.398397864714449e-09,0.0,7.043301275544422e-09,0.8064846992492676
WOA,Engineering,tension_spring,3,30,30,1000,30000,10000000000.0,1e-06,1.0,0.0136392414774182,0.0126657151641792,0.0136392414774182,0.0009006571785207,0.0135529851508742,0.0136392414774182,0.0009006571785207,0.0126657151641792,0.0135529851508742,0.0136392414774182,0.0009006571785207,0.0126657151641792,0.0135529851508742,0.0,0.0,0.0,0.8791642189025879
WOA,Engineering,welded_beam,4,30,30,1000,30000,10000000000.0,1e-06,1.0,2.860578182320435,1.7880163620061684,2.860578182320435,0.8304058526383924,2.7030422253862763,2.860578182320435,0.8304058526383924,1.7880163620061684,2.7030422253862763,2.8605785761683995,0.8304056867241478,1.7880163620061684,2.7030422253862763,1.145786432399376e-09,0.0,0.0,1.323653221130371
WOA,Engineering,pressure_vessel,4,30,30,1000,30000,10000000000.0,1e-06,1.0,32103.823993106747,6842.695335307394,32103.823993106747,31974.726956187347,18591.098637420004,32103.823993106747,31974.726956187347,6842.695335307394,18591.098637420004,32103.823993106747,31974.726956187347,6842.695335307394,18591.098637420004,0.0,0.0,0.0,1.0548768043518066
WOA,Engineering,speed_reducer,7,30,30,1000,30000,10000000000.0,1e-06,0.9666666666666668,125436.18901195483,3104.1392655103764,4391.240318402904,878.9379425218344,4664.491342923282,4414.628425992086,873.2948797318448,3104.1392655103764,4713.276684568415,125436.18901195483,651847.5647743432,3104.1403633517343,4713.277048320431,0.0004555378906191,0.0,1.907018296609664e-07,1.4204931259155271
