algorithm,fn_id,dim,num_runs,pop_size,max_iter,fes_per_run,mean_error,std_error,min_error,median_error,max_error,logscore,elapsed_sec
GWO,12,10,30,30,1000,30000,168.6231229472281,9.594447441886992,159.55375041110983,165.3085995001427,212.03976426393865,2.2262842493876525,1.7693421840667725
GWO,1,20,30,30,1000,30000,11830.90654115202,5676.541578963481,3624.745638285396,11976.18914971052,28308.48533675413,4.020920420350909,0.7369272708892822
GWO,2,20,30,30,1000,30000,132.48574788583937,53.88421517049606,50.42560051516881,125.34186408145894,305.2409376848844,2.0874466674741696,0.7201399803161621
GWO,3,20,30,30,1000,30000,14.143982523473085,6.587401049221731,1.853833892576404,13.391248069838923,28.32826462043124,1.0920492782366449,0.7383408546447754
GWO,4,20,30,30,1000,30000,59.74001545068071,18.659782917542675,20.08912842746429,56.33212674597843,105.36087384597931,1.7529021338576145,0.7023673057556152
GWO,5,20,30,30,1000,30000,856.8340787745527,589.3759691389853,111.5718873207694,707.11113164522,2281.657007296541,2.8167661109324214,0.8127686977386475
GWO,6,20,30,30,1000,30000,3567742.5530575407,7040018.38841303,376.3882050447446,22973.338479433125,21838239.211125053,4.81233566698348,0.9698853492736816
GWO,7,20,30,30,1000,30000,107.2633524300224,47.55932628165392,35.39193216930221,102.2023610691765,246.86192254352773,1.984751789159536,1.624162197113037
GWO,8,20,30,30,1000,30000,57.05781038432513,57.46930890103194,25.4549960624222,31.236666297774946,271.5758495261198,1.6301091742510472,1.5192136764526367
GWO,9,20,30,30,1000,30000,238.2041480787493,40.09629525727005,183.2810769880525,232.8813386375264,344.5267127686484,2.3710990792143987,1.3905162811279297
GWO,10,20,30,30,1000,30000,1499.3411692736445,832.6944182516686,100.9198277711862,1665.934714047801,3613.638939204999,3.014142172453925,1.4094517230987549
GWO,11,20,30,30,1000,30000,1115.225871919179,471.731456646858,334.48702358343417,993.1586578112484,2278.9215405462137,3.0089786363641458,1.6714739799499512
GWO,12,20,30,30,1000,30000,299.9809597322949,40.970910422247954,242.68665060822377,289.3472737555089,424.0876349332975,2.473318534228805,1.7772467136383057
